Chansons;Chanteurs;Année;Thèmes
3e sexe;Indochine;1985;
A nos actes manqués;Jean-Jacques Goldman;1990;
A nos souvenirs;Trois Cafés Gourmands;2017;
Adolescente Pirate;Léa Paci;2017;Jeunes femmes
Ailleurs;Orelsan;2025;
Aimer à mort;Louane;2020;Aimer à tous les temps
Alain Souchon;Foule Sentimentale;1993;
Alexandrie Alexandra;Claude François;1977;Prénoms
Aline;Christophe;1965;Prénoms
Aline;Therapie TAXI;2018;
Allumer le feu;Johnny Hallyday;1998;
Alors on danse;Stromae;2009;
Alter ego;Jean-Louis Aubert;2001;
J'ai cherché;Amir;2016;Cache-cache
Amour plastique;Videoclub;2018;
Andalouse;Kendji Girac;2014;
Au bout de mes rêves;Jean-Jacques Goldman;1982;
Au soleil;Jenifer;2002;Bulletin météo
Avant qu'elle parte;Sexion d'Assaut;2012;
Avant toi;Vitaa, Slimane;2019;
Balance ton quoi;Angèle;2019;
Basique;Orelsan;2017;
Beau malheur;Emmanuel Moire;2013;
beau-papa;Vianney;2020;Histoires de pères
Bella;GIMS;2013;
Belle demoiselle;Christophe Maé;2007;Jeunes femmes
Boum boum boum;Mika;2014;
Butterfly;Superbus;2006;Titre en anglais
Ça (c'est vraiment toi);Téléphone;1982;
Ca fait mal;Christophé Maé;2007;
Ca ira;Joyce Jonathan;2013;
Ca m'énerve;Helmut Fritz;2009;
Ca va ça vient;Vitaa, Slimane;2019;
Capri c'est fini;Hervé Vilard;1965;
Caravane;Raphaël;2005;
Carmen;Stromae;2015;
Casser la voix;Patrick Bruel;1989;
Ce que l'on s'aime;Tryo;2008;
Cendrillon;Téléphone;1982;
C'est dit;Calogero;2009;
Cette année-là;Claude François;1976;
Chanson sur ma drôle de vie;Véronique Sanson;1972;
Chanter;Florent Pagny;1997;
Clown;Soprano;2015;
Cœur maladroit;Marine;2025;
Comme des enfants;Cœur de pirate;2009;
Comme ils disent;Charles Aznavour;1972;
Comme toi;Jean-Jacques Goldman;1982;
Cosmo;Soprano;2014;
Coup de vieux;Bigflo & Oli;2022;Coups en tous genres
Coups et blessures;BB Brunes;2012;Coups en tous genres
Dans les yeux d'Emilie;Joe Dassin;1978;
Dans mon HLM;Renaud;1980;Guerres de voisinage
Défaite de famille;Orelsan;2017;
Demain;Bigflo & Oli;2018;
Dernière danse;Kyo;2003;
Dernière danse;Indila;2013;
Derrière le brouillard;Grand corps malade;2020;
Dès que le vent soufflera;Renaud;1983;
Désolé;Sexion d'Assaut;2010;
Désolé pour hier soir;Tryo;2003;
Dingue, dingue, dingue;Christophé Maé;2010;
Dis-moi;BB Brunes;2007;
Dommage;Bigflo & Oli;2017;
Donne-moi le temps;Jenifer;2003;
Donnez-moi;Les Frangines;2019;
Double je;Christophe Willem;2007;
Douce France;Charles Trenet;1943;
Ella, elle l'a;France Gall;1987;
Elle a les yeux revolver;Marc Lavoine;1985;
Elle habite ici;De Palmas;2004;
Elle me dit;Mika;2011;
Emmenez-moi;Charles Aznavour;1967;
En apesanteur;Calogero;2002;Décollage imminent
En chantant;Michel Sardou;1978;
En cloque;Renaud;1983;
En rouge et noir;Jeanne Mas;1986;En couleurs
Encore et encore;Francis Cabrel;1985;
Encore un matin;Jean-Jacques Goldman;1984;
Envole-moi;Jean-Jacques Goldman;1984;Décollage imminent
Est-ce que tu m'aimes;GIMS;2015;
Et si tu n'existais pas;Joe Dassin;1975;
Eté 90;Therapie TAXI;2021;
Etre une femme;Michel Sardou;1981;
Face à la mer;Calogero;2004;
Femme libérée;Cookie Dingler;1984;
For me formidable;Charles Aznavour;1963;
Formidable;Stromae;2013;
Gabrielle;Johnny Hallyday;1976;
Game over;Vitaa;2013;
Golden Baby;Cœur de pirate;2012;
Toi + Moi;Grégoire;2008;Pronoms
Toi et moi;Guillaume Grand;2010;Pronoms
Hey oh;Tragédie;2003;
Hit Sale;Therapie TAXI;2018;
Il en faut peu pour être heureux;Jean Stout;1967;Disney
Il est où le bonheur;Christophé Maé;2016;
Il jouait du piano debout;France Gall;1980;Avec le mot Piano
Il me dit que je suis belle;Patricia Kaas;1993;
J'ai demandé à la lune;Indochine;2002;
Je chante;Charles Trenet;1937;
Je l'aime à mourir;Francis Cabrel;1979;
Je m'en vais;Vianney;2015;
Je m'en vais;Vianney;2016;
Je ne sais pas;Joyce Jonathan;2009;
Je suis un homme;Zazie;2007;
Je t'accuse;Suzane;2025;
